"Table 1.16: Mongolia Input-Output Table (35x35), 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(at current prices, $ million)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Industry,,"Agriculture, hunting, forestry, and fishing",Mining and quarrying,"Food, beverages, and tobacco",Textiles and textile products,"Leather, leather products, and footwear",Wood and products of wood and cork,"Pulp, paper, paper products, printing, and publishing","Coke, refined petroleum, and nuclear fuel",Chemicals and chemical products,Rubber and plastics,Other nonmetallic minerals,Basic metals and fabricated metal,"Machinery, nec",Electrical and optical equipment,Transport equipment,"Manufacturing, nec; recycling","Electricity, gas, and water supply",Construction,"Sale, maintenance, and repair of motor vehicles and motorcycles; retail sale of fuel","Wholesale trade and commission trade, except of motor vehicles and motorcycles","Retail trade, except of motor vehicles and motorcycles; repair of household goods",Hotels and restaurants,Inland transport,Water transport,Air transport,Other supporting and auxiliary transport activities; activities of travel agencies,Post and telecommunications,Financial intermediation,Real estate activities,Renting of M&Eq and other business activities,Public administration and defense; compulsory social security,Education,Health and social work,"Other community, social, and personal services",Private households with employed persons,Final consumption expenditure by households,Final consumption expenditure by non-profit organisations serving households (NPISH),Final consumption expenditure by government,Gross fixed capital formation,Changes in inventories and valuables,Exports,TOTAL,,
,,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,F1,F2,F3,F4,F5,F6,,,
"Agriculture, hunting, forestry, and fishing",c1, 188 , 3 , 990 , 71 , 27 , 16 , 0 , 0 , 0 , 0 , 0 , 2 , -   , 0 , -   , 0 , 0 , 8 , -   , 0 , 0 , 12 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 5 , 1 , 3 , 0 , -   , 662 , -   , -   , 379 , 12 , 649 ," 3,031 ",,
Mining and quarrying,c2, 0 , 387 , 1 , 0 , 0 , 0 , 0 , 28 , 0 , 0 , 9 , 5 , -   , 0 , -   , 0 , 94 , 26 , 0 , 1 , 1 , 0 , 0 , -   , 0 , 2 , 1 , 1 , 0 , 2 , 1 , 1 , 2 , 2 , -   , 29 , -   , -   , 76 , 1 ," 6,678 "," 7,348 ",,
"Food, beverages, and tobacco",c3, 6 , 3 , 154 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 6 , 0 , 96 , 0 , -   , 0 , 0 , 0 , 1 , 0 , 1 , 4 , 23 , 5 , 1 , -   ," 2,069 ", -   , -   , 4 , 11 , 76 ," 2,465 ",,
Textiles and textile products,c4, 0 , 3 , 2 , 95 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 2 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 5 , 0 , 0 , -   , 243 , -   , -   , 17 , 1 , 85 , 462 ,,
"Leather, leather products, and footwear",c5, 0 , 0 , 0 , 10 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , 0 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 0 , -   , 24 , -   , -   , 1 , (0), 14 , 51 ,,
Wood and products of wood and cork,c6, 0 , 1 , 0 , 0 , 0 , 10 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 5 , 0 , 30 , 0 , 0 , 0 , 2 , 0 , -   , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , -   , 3 , -   , -   , 6 , 1 , 4 , 65 ,,
"Pulp, paper, paper products, printing, and publishing",c7, 0 , 0 , 12 , 1 , 0 , 0 , 10 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 2 , 2 , 0 , 0 , 0 , -   , 46 , -   , -   , 7 , 0 , 1 , 95 ,,
"Coke, refined petroleum, and nuclear fuel",c8, 2 , 6 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 0 , 0 , 1 , 11 , 0 , 3 , 2 , 1 , 4 , -   , 0 , 0 , 0 , 1 , 0 , 1 , 3 , 1 , 1 , 0 , -   , 16 , -   , -   , -   , 0 , 12 , 76 ,,
Chemicals and chemical products,c9, 3 , 4 , 2 , 1 , 0 , 0 , 4 , 0 , 7 , 1 , 2 , 7 , 0 , 0 , 0 , 1 , 0 , 8 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 7 , 0 , -   , 13 , -   , -   , 0 , 0 , 1 , 67 ,,
